1003517;20120101;Gray,Emily;4817
1005845;20120101;Stewart,Charles;8879
1012192;20120101;Stewart,Julian;2774
1015064;20120101;Collins,Mackenzie;6788
1016279;20120101;Gutierrez,Xavier;1323
1017386;20120101;Nguyen,Dylan;8122
1021506;20120101;Diaz,Austin;8687
1023875;20120101;White,Sebastian;2971
1037129;20120102;Ramirez,Sophia;4645
1037133;20120103;Thomas,Claire;3029
1040161;20120104;Watson,Jacob;5621
1042590;20120105;Lee,Chase;2534
1043726;20120105;Jackson,Aaliyah;3264
1053110;20120105;Turner,Daniel;7015
1054005;20120106;Powell,Allison;8584
1055125;20120106;Ramirez,Brody;3856
1056600;20120107;Watson,Elijah;2324
1058858;20120110;Russell,Claire;9836
1060122;20120110;Moore,Charlotte;9978
1061751;20120110;Jenkins,Sadie;4941
1064143;20120110;Barnes,Anthony;9035
1064641;20120112;Sanchez,Eva;2518
1066522;20120112;Williams,Mia;8120
1067360;20120112;Mitchell,Nolan;5318
1068142;20120112;Cruz,Owen;5913
1074428;20120112;Clark,Ayden;1634
1076768;20120112;Gutierrez,Nora;3720
1077347;20120113;Sullivan,Nicholas;3927
1077745;20120113;Richardson,Kevin;9578
1083907;20120115;Cruz,Robert;9009
1085474;20120116;Diaz,Hudson;3924
1087078;20120116;Young,Christopher;5811
1088288;20120118;Moore,Zoe;1713
1091250;20120118;Harris,Kylie;9679
1092102;20120119;Bailey,Skylar;6445
1092195;20120120;Perry,Jace;1638
1092278;20120120;Richardson,Asher;1848
1092775;20120120;Young,Natalie;7287
1096442;20120121;Jones,Logan;8506
1101067;20120121;Green,Layla;9692
